,CH1,CH2
Second,Volt,Volt
7.04600e-02,6.80e+00,2.40e+00, 
7.05000e-02,6.80e+00,3.22e+00, 
7.05400e-02,6.80e+00,3.24e+00, 
7.05800e-02,7.20e+00,2.46e+00, 
7.06200e-02,7.20e+00,2.32e+00, 
7.06600e-02,6.80e+00,2.84e+00, 
7.07000e-02,7.20e+00,2.96e+00, 
7.07400e-02,7.60e+00,3.26e+00, 
7.07800e-02,7.20e+00,2.90e+00, 
7.08200e-02,7.60e+00,2.32e+00, 
7.08600e-02,7.20e+00,2.40e+00, 
7.09000e-02,7.60e+00,3.24e+00, 
7.09400e-02,7.60e+00,3.26e+00, 
7.09800e-02,7.60e+00,2.48e+00, 
7.10200e-02,7.60e+00,2.32e+00, 
7.10600e-02,8.00e+00,2.88e+00, 
7.11000e-02,8.00e+00,3.26e+00, 
7.11400e-02,8.00e+00,2.92e+00, 
7.11800e-02,8.00e+00,2.82e+00, 
7.12200e-02,8.00e+00,2.34e+00, 
7.12600e-02,8.00e+00,2.54e+00, 
7.13000e-02,8.40e+00,3.26e+00, 
7.13400e-02,8.40e+00,3.24e+00, 
7.13800e-02,8.00e+00,2.36e+00, 
7.14200e-02,8.40e+00,2.32e+00, 
7.14600e-02,8.40e+00,3.04e+00, 
7.15000e-02,8.40e+00,3.28e+00, 
7.15400e-02,8.40e+00,2.88e+00, 
7.15800e-02,8.40e+00,2.76e+00, 
7.16200e-02,8.40e+00,2.32e+00, 
7.16600e-02,8.40e+00,2.46e+00, 
7.17000e-02,8.80e+00,3.30e+00, 
7.17400e-02,8.40e+00,3.30e+00, 
7.17800e-02,8.80e+00,2.60e+00, 
7.18200e-02,8.80e+00,2.52e+00, 
7.18600e-02,8.80e+00,2.28e+00, 
7.19000e-02,8.80e+00,2.46e+00, 
7.19400e-02,9.20e+00,3.20e+00, 
7.19800e-02,8.80e+00,3.38e+00, 
7.20200e-02,9.20e+00,3.18e+00, 
7.20600e-02,9.20e+00,3.14e+00, 
7.21000e-02,9.20e+00,2.44e+00, 
7.21400e-02,9.20e+00,2.38e+00, 
7.21800e-02,9.20e+00,2.22e+00, 
7.22200e-02,9.20e+00,2.38e+00, 
7.22600e-02,9.60e+00,3.08e+00, 
7.23000e-02,9.60e+00,3.18e+00, 
7.23400e-02,9.60e+00,3.38e+00, 
7.23800e-02,9.60e+00,3.24e+00, 
7.24200e-02,9.60e+00,2.46e+00, 
7.24600e-02,9.60e+00,2.40e+00, 
7.25000e-02,9.60e+00,2.24e+00, 
7.25400e-02,9.60e+00,2.46e+00, 
7.25800e-02,9.60e+00,3.22e+00, 
7.26200e-02,9.60e+00,3.38e+00, 
7.26600e-02,1.00e+01,3.22e+00, 
7.27000e-02,1.00e+01,3.16e+00, 
7.27400e-02,1.00e+01,2.46e+00, 
7.27800e-02,1.04e+01,2.40e+00, 
7.28200e-02,1.00e+01,2.20e+00, 
7.28600e-02,1.04e+01,2.24e+00, 
7.29000e-02,1.00e+01,2.66e+00, 
7.29400e-02,1.04e+01,2.74e+00, 
7.29800e-02,1.04e+01,3.24e+00, 
7.30200e-02,1.04e+01,3.30e+00, 
