,CH1,CH2,
Second,Volt,Volt,
7.31E-02,6.40E+00,2.60E+00, 
7.32E-02,6.40E+00,2.54E+00, 
7.32E-02,6.40E+00,2.22E+00, 
7.33E-02,6.40E+00,2.24E+00, 
7.33E-02,6.40E+00,2.70E+00, 
7.33E-02,6.40E+00,2.78E+00, 
7.34E-02,6.00E+00,3.32E+00, 
7.34E-02,6.40E+00,3.36E+00, 
7.35E-02,6.00E+00,3.08E+00, 
7.35E-02,6.00E+00,3.04E+00, 
7.35E-02,6.00E+00,2.40E+00, 
7.36E-02,6.00E+00,2.36E+00, 
7.36E-02,6.00E+00,2.20E+00, 
7.37E-02,6.00E+00,2.26E+00, 
7.37E-02,5.60E+00,2.68E+00, 
7.37E-02,6.00E+00,2.74E+00, 
7.38E-02,5.60E+00,3.20E+00, 
7.38E-02,5.60E+00,3.24E+00, 
7.39E-02,5.60E+00,3.40E+00, 
7.39E-02,5.60E+00,3.40E+00, 
7.39E-02,5.60E+00,3.32E+00, 
7.40E-02,5.60E+00,3.30E+00, 
7.40E-02,5.60E+00,3.08E+00, 
7.41E-02,5.60E+00,3.04E+00, 
7.41E-02,5.60E+00,2.78E+00, 
7.41E-02,5.60E+00,2.76E+00, 
7.42E-02,5.60E+00,2.54E+00, 
7.42E-02,5.60E+00,2.52E+00, 
7.43E-02,5.60E+00,2.32E+00, 
7.43E-02,5.60E+00,2.32E+00, 
7.43E-02,5.60E+00,2.20E+00, 
7.44E-02,5.60E+00,2.20E+00, 
7.44E-02,5.60E+00,2.16E+00, 
7.45E-02,5.60E+00,2.16E+00, 
7.45E-02,5.20E+00,2.18E+00, 
7.45E-02,5.60E+00,2.18E+00, 
7.46E-02,5.60E+00,2.24E+00, 
7.46E-02,5.60E+00,2.24E+00, 
7.47E-02,5.20E+00,2.30E+00, 
7.47E-02,5.60E+00,2.28E+00, 
7.47E-02,5.20E+00,2.32E+00, 
7.48E-02,5.60E+00,2.30E+00, 
7.48E-02,5.20E+00,2.28E+00, 
7.49E-02,5.20E+00,2.28E+00, 
7.49E-02,5.20E+00,2.24E+00, 
7.49E-02,5.20E+00,2.24E+00, 
7.50E-02,5.20E+00,2.20E+00, 
7.50E-02,5.20E+00,2.20E+00, 
7.51E-02,5.20E+00,2.18E+00, 
7.51E-02,5.20E+00,2.18E+00, 
7.51E-02,4.80E+00,2.16E+00, 
7.52E-02,4.80E+00,2.16E+00, 
7.52E-02,5.20E+00,2.18E+00, 
7.53E-02,4.80E+00,2.16E+00, 
7.53E-02,5.20E+00,2.18E+00, 
7.53E-02,4.80E+00,2.18E+00, 
7.54E-02,4.80E+00,2.22E+00, 
7.54E-02,4.80E+00,2.24E+00, 
7.55E-02,4.80E+00,2.32E+00, 
7.55E-02,4.80E+00,2.32E+00, 
7.55E-02,4.40E+00,2.44E+00, 
7.56E-02,4.80E+00,2.46E+00, 
7.56E-02,4.40E+00,2.60E+00, 
7.57E-02,4.40E+00,2.62E+00, 
7.57E-02,4.40E+00,2.86E+00, 
7.57E-02,4.40E+00,2.88E+00, 
7.58E-02,4.40E+00,3.10E+00, 
7.58E-02,4.40E+00,3.14E+00, 
7.59E-02,4.40E+00,3.32E+00, 
7.59E-02,4.40E+00,3.34E+00, 
7.59E-02,4.40E+00,3.42E+00, 
7.60E-02,4.40E+00,3.44E+00, 
7.60E-02,4.00E+00,3.38E+00, 
7.61E-02,4.00E+00,3.38E+00, 
7.61E-02,4.40E+00,3.24E+00, 
7.61E-02,4.00E+00,3.22E+00, 
7.62E-02,4.40E+00,3.00E+00, 
7.62E-02,4.00E+00,2.96E+00, 
7.63E-02,4.00E+00,2.68E+00, 
7.63E-02,4.00E+00,2.66E+00, 
7.63E-02,4.00E+00,2.42E+00, 
7.64E-02,4.00E+00,2.38E+00, 
7.64E-02,4.00E+00,2.22E+00, 
7.65E-02,4.00E+00,2.22E+00, 
7.65E-02,4.00E+00,2.18E+00, 
7.65E-02,4.00E+00,2.20E+00, 
7.66E-02,4.00E+00,2.38E+00, 
7.66E-02,4.00E+00,2.42E+00, 
7.67E-02,4.00E+00,2.74E+00, 
7.67E-02,4.00E+00,2.78E+00, 
7.67E-02,4.00E+00,3.14E+00, 
7.68E-02,4.00E+00,3.18E+00, 
7.68E-02,3.60E+00,3.38E+00, 
7.69E-02,4.00E+00,3.40E+00, 
7.69E-02,3.60E+00,3.32E+00, 
7.69E-02,3.60E+00,3.32E+00, 
7.70E-02,3.60E+00,3.00E+00, 
7.70E-02,3.60E+00,2.96E+00, 
7.71E-02,4.00E+00,2.58E+00, 
7.71E-02,3.60E+00,2.54E+00, 
7.71E-02,3.60E+00,2.26E+00, 
7.72E-02,3.60E+00,2.24E+00, 
7.72E-02,3.60E+00,2.18E+00, 
7.73E-02,3.60E+00,2.22E+00, 
7.73E-02,3.20E+00,2.46E+00, 
7.73E-02,3.60E+00,2.52E+00, 
7.74E-02,3.20E+00,2.94E+00, 
7.74E-02,3.20E+00,2.98E+00, 
7.75E-02,3.20E+00,3.32E+00, 
7.75E-02,3.20E+00,3.34E+00, 
7.75E-02,3.60E+00,3.38E+00, 
7.76E-02,3.20E+00,3.32E+00, 
7.76E-02,3.20E+00,2.96E+00, 
7.77E-02,3.20E+00,2.88E+00, 
7.77E-02,3.20E+00,2.44E+00, 
7.77E-02,2.80E+00,2.40E+00, 
7.78E-02,3.20E+00,2.20E+00, 
7.78E-02,3.20E+00,2.20E+00, 
7.79E-02,2.80E+00,2.40E+00, 
7.79E-02,2.80E+00,2.46E+00, 
7.79E-02,3.20E+00,2.90E+00, 
7.80E-02,2.80E+00,2.96E+00, 
7.80E-02,2.80E+00,3.32E+00, 
7.81E-02,2.80E+00,3.38E+00, 
7.81E-02,2.80E+00,3.28E+00, 
7.81E-02,2.80E+00,3.24E+00, 
7.82E-02,2.80E+00,2.78E+00, 
7.82E-02,2.80E+00,2.72E+00, 
7.83E-02,2.80E+00,2.30E+00, 
7.83E-02,2.80E+00,2.20E+00, 
7.83E-02,2.80E+00,2.28E+00, 
7.84E-02,2.80E+00,2.32E+00, 
7.84E-02,2.80E+00,2.78E+00, 
7.85E-02,2.80E+00,2.84E+00, 
7.85E-02,2.80E+00,3.32E+00, 
7.85E-02,2.80E+00,3.38E+00, 
7.86E-02,2.80E+00,3.22E+00, 
7.86E-02,2.80E+00,3.18E+00, 
7.87E-02,2.40E+00,2.62E+00, 
7.87E-02,2.80E+00,2.56E+00, 
7.87E-02,2.40E+00,2.22E+00, 
7.88E-02,2.40E+00,2.22E+00, 
7.88E-02,2.80E+00,2.48E+00, 
7.89E-02,2.40E+00,2.54E+00, 
7.89E-02,2.80E+00,3.10E+00, 
7.89E-02,2.40E+00,3.18E+00, 
7.90E-02,2.40E+00,3.34E+00, 
7.90E-02,2.40E+00,3.32E+00, 
7.91E-02,2.40E+00,2.84E+00, 
7.91E-02,2.40E+00,2.76E+00, 
7.91E-02,2.00E+00,2.28E+00, 
7.92E-02,2.00E+00,2.24E+00, 
7.92E-02,2.40E+00,2.40E+00, 
7.93E-02,2.00E+00,2.44E+00, 
7.93E-02,2.40E+00,3.04E+00, 
7.93E-02,2.00E+00,3.10E+00, 
7.94E-02,2.00E+00,3.32E+00, 
7.94E-02,2.00E+00,3.30E+00, 
7.95E-02,1.60E+00,2.80E+00, 
7.95E-02,2.00E+00,2.74E+00, 
7.95E-02,1.60E+00,2.26E+00, 
7.96E-02,1.60E+00,2.24E+00, 
7.96E-02,2.00E+00,2.46E+00, 
7.97E-02,1.60E+00,2.52E+00, 
7.97E-02,2.00E+00,3.14E+00, 
7.97E-02,1.60E+00,3.18E+00, 
7.98E-02,1.60E+00,3.34E+00, 
7.98E-02,1.60E+00,3.22E+00, 
7.99E-02,1.60E+00,2.62E+00, 
7.99E-02,1.60E+00,2.56E+00, 
7.99E-02,1.60E+00,2.24E+00, 
8.00E-02,1.60E+00,2.26E+00, 
