,CH1,CH3
Second,Volt,Volt
2.34144e-02,4.80e-01,1.73e-01, 
2.35144e-02,5.04e-01,1.83e-01, 
2.36144e-02,5.04e-01,1.84e-01, 
2.37144e-02,5.28e-01,1.94e-01, 
2.38144e-02,5.28e-01,1.92e-01, 
2.39144e-02,5.52e-01,2.00e-01, 
2.40144e-02,5.52e-01,1.98e-01, 
2.41144e-02,5.76e-01,1.93e-01, 
2.42144e-02,5.76e-01,1.93e-01, 
2.43144e-02,6.00e-01,1.86e-01, 
2.44144e-02,6.00e-01,1.86e-01, 
2.45144e-02,6.24e-01,1.75e-01, 
2.46144e-02,6.24e-01,1.75e-01, 
2.47144e-02,6.48e-01,1.70e-01, 
2.48144e-02,6.40e-01,1.70e-01, 
2.49144e-02,6.24e-01,1.67e-01, 
2.50144e-02,6.24e-01,1.69e-01, 
2.51144e-02,5.92e-01,1.74e-01, 
2.52144e-02,5.92e-01,1.75e-01, 
2.53144e-02,5.76e-01,1.90e-01, 
